OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,BuyBaseAssetVolume,BuyQuoteAssetVolume,Ignore,RSI,MACD,MACDSign,MACDHist,Change
1504008000000,4368.5,4625.85,4347.59,4580,75.610626,1504015199999,335457.66303093,462,22.132373,99636.02017957,10868.15003837,70.12,33.74,28.06,5.68,211.5
1504015200000,4581.61,4599.96,4530.87,4570,53.153945,1504022399999,242963.58472479,377,15.62945,71568.92713837,11120.44252187,68.96,45.6,39.75,5.85,-10
1504022400000,4569.65,4584,4496.95,4555.55,66.990957,1504029599999,303608.40072974,366,7.139421,32524.09532886,11094.26070561,67.22,53.33,48.81,4.53,-14.45
1504029600000,4533.47,4555.55,4511.45,4555.55,60.223273,1504036799999,273270.23693576,385,18.718613,85153.7168436,11051.79809229,67.22,58.81,55.48,3.34,0
1504036800000,4540,4624.99,4535.09,4618.93,39.485618,1504043999999,181384.02995253,225,13.104326,60256.63908202,11058.47444611,70.95,67.21,63.3,3.91,63.38
1504044000000,4618.92,4619.6,4564.77,4587.48,12.710147,1504051199999,58247.17186785,131,3.158832,14520.04166401,11050.54761867,66.88,70.7,68.24,2.47,-31.45
1504051200000,4564.52,4619.99,4527.45,4597.55,72.053678,1504058399999,330238.28885103,415,6.674084,30680.44979991,11018.53402365,67.52,73.41,71.68,1.72,10.07
1504058400000,4597.54,4618.3,4565.33,4583.61,47.371352,1504065599999,217491.11907552,356,6.091164,28023.33277017,11170.96004048,65.63,73.66,73,0.66,-13.94
1504065600000,4600,4625,4558.89,4590.49,78.489726,1504072799999,360417.66202213,389,16.676743,76879.19509178,11235.56889009,66.13,73.55,73.37,0.18,6.88
1504072800000,4590.49,4647.51,4550.01,4550.02,71.061725,1504079999999,326956.22468494,398,14.914359,68871.34579316,11151.92108986,60.5,69.6,70.86,-1.26,-40.47
